0, 2.67551e-307
0.01, 0.179463
0.02, 0.249712
0.03, 0.389117
0.04, 0.380711
0.05, 0.56632
0.06, 0.525342
0.07, 0.560195
0.08, 0.563892
0.09, 0.478899
0.1, 0.457627
0.11, 0.534692
0.12, 0.517527
0.13, 0.488068
0.14, 0.537322
0.15, 0.743468
0.16, 0.721132
0.17, 0.949562
0.18, 1.06503
0.19, 1.05804
0.2, 1.09315
0.21, 1.15454
0.22, 1.1207
0.23, 1.09127
0.24, 1.10783
0.25, 0.972656
0.26, 0.952577
0.27, 0.912166
0.28, 0.741646
0.29, 0.776686
0.3, 0.793606
0.31, 0.739646
0.32, 0.773185
0.33, 0.808357
0.34, 0.911129
0.35, 0.856137
0.36, 1.01245
0.37, 0.892274
0.38, 0.909935
0.39, 0.793326
0.4, 0.689072
0.41, 0.607501
0.42, 0.388655
0.43, 0.28139
0.44, 0.184953
0.45, 0.19272
0.46, -0.0202008
0.47, -0.00703819
0.48, -0.0582043
0.49, 0.0499957
0.5, 0.0519981
0.51, 0.0645175
0.52, -0.0345226
0.53, -0.0384525
0.54, -0.024482
0.55, -0.0854463
0.56, -0.275837
0.57, -0.311959
0.58, -0.451737
0.59, -0.588228
0.6, -0.720211
0.61, -0.808041
0.62, -0.88809
0.63, -0.887584
0.64, -0.971962
0.65, -0.892414
0.66, -0.904875
0.67, -0.880558
0.68, -0.770865
0.69, -0.831427
0.7, -0.826959
0.71, -0.753473
0.72, -0.752982
0.73, -0.908024
0.74, -0.911981
0.75, -1.06091
0.76, -1.13211
0.77, -1.13713
0.78, -1.20778
0.79, -1.23201
0.8, -1.16403
0.81, -1.07938
0.82, -0.945258
0.83, -0.933002
0.84, -0.862348
0.85, -0.622988
0.86, -0.536525
0.87, -0.57298
0.88, -0.510827
0.89, -0.537585
0.9, -0.47551
0.91, -0.419663
0.92, -0.440018
0.93, -0.5051
0.94, -0.524071
0.95, -0.525349
0.96, -0.412965
0.97, -0.398101
0.98, -0.260572
0.99, -0.20944
1, -0.0314491
0, 3.59282e-294
3.85612e-270, 9.88131e-324
